N,MAE,RMSE,SRCC,PLCC,Bias,pred_mean,pred_std,target_mean,target_std,std_ratio,dataset,model
3981,9.070219128499438,12.095585984735912,0.44718757460911895,0.5287833783671193,-7.576173168746376,64.60595943615742,11.107146142895903,72.1821326049038,6.050631364396424,1.8357003548841861,flive,koniq_score
3981,3.1184151161985425,4.100501064601923,0.6302663637104201,0.7566835770151079,1.0789652736507718,73.26109787855458,4.53752174509609,72.1821326049038,6.050631364396424,0.7499253337091585,flive,flive_score
3981,5.015875123577857,6.813498142240489,0.4688431375728217,0.5630744490084628,-2.35717774259397,69.82495486230984,7.390004850365617,72.1821326049038,6.050631364396424,1.2213609465369901,flive,topiq_score
3981,6.563196525319415,8.9329555533655,0.5491680941183891,0.6269181028350277,-3.0485351955843614,69.13359740931944,10.741828340293202,72.1821326049038,6.050631364396424,1.7753235478037992,flive,topiq_ranking_score
3981,3.473030991284483,4.555047654870594,0.5738654571953618,0.6969928226671895,-0.6391062344715991,71.5430263704322,5.4481128407394,72.1821326049038,6.050631364396424,0.9004205532661586,flive,A1:flive_topiq_mean_50_50
3981,3.7222163062545075,4.913679159883157,0.551654845535564,0.6696350118650376,-0.9827205360960731,71.19941206880773,5.779358831223932,72.1821326049038,6.050631364396424,0.9551662435148942,flive,A2:flive_topiq_topiq60_flive40
3981,3.27325941817767,4.268760159058767,0.5950496408079845,0.7222046204036033,-0.29549193284712777,71.88664067205667,5.157167330987482,72.1821326049038,6.050631364396424,0.8523354044230277,flive,A3:flive_topiq_flive60_topiq40
3981,3.546234669445874,4.767911001316514,0.5729712607073781,0.6841505046846117,-0.7271307544375538,71.45500185046625,5.791791997682317,72.1821326049038,6.050631364396424,0.9572210979110066,flive,A4:flive_topiq_min_cap_8
3981,3.68905887733736,5.082802299708774,0.5664916457481622,0.6668629248139623,-0.9010002952630811,71.28113230964072,6.201434869979285,72.1821326049038,6.050631364396424,1.024923598299217,flive,A5:flive_topiq_disagreement_guard
3981,4.978376598163398,6.535864198295733,0.5336991454508264,0.6461419061071529,-3.248603947547802,68.93352865735599,7.201779019713955,72.1821326049038,6.050631364396424,1.190252485400317,flive,B1:koniq_flive_mean_50_50
3981,5.7213845988956695,7.564395237231725,0.512056752922548,0.6172625846727925,-4.114117791787517,68.06801481311629,7.933984583588532,72.1821326049038,6.050631364396424,1.3112655697840518,flive,B2:koniq_flive_koniq60_flive40
