srcc_low,srcc_high,plcc_low,plcc_high,mae_low,mae_high,dataset,model
0.4202458219518346,0.474594142751392,0.5012137016978625,0.5538230090664812,8.810262542857876,9.313511206378365,flive,koniq_score
0.6092166171876638,0.6499760425359159,0.7326774564899212,0.7800301157428232,3.0358925818388034,3.1990224833026715,flive,flive_score
0.44283717042302967,0.4955371245316668,0.5362455724482205,0.5926652107022222,4.881762330910912,5.157309003480272,flive,topiq_score
0.5260291234873442,0.5717725197197916,0.602172186586467,0.6475930087761534,6.385131712844603,6.764100291722703,flive,topiq_ranking_score
0.5502008699419073,0.5957139079326143,0.6695185282965156,0.7226581833313984,3.3787231230713686,3.571511537969405,flive,A1:flive_topiq_mean_50_50
0.5263550766538315,0.5741662581163314,0.644241833418436,0.6941845403778928,3.62628141170301,3.825334603912468,flive,A2:flive_topiq_topiq60_flive40
0.5732937402086569,0.6160422055595033,0.6931173884147167,0.749423166466849,3.1887209190680603,3.359395664116925,flive,A3:flive_topiq_flive60_topiq40
0.5488497612590351,0.5939312454911571,0.6541264717317309,0.7113172672525302,3.449191345237946,3.649725458086234,flive,A4:flive_topiq_min_cap_8
0.5436245506853398,0.5909263770648323,0.6344915160634809,0.697194265127022,3.581872714191359,3.799075245525191,flive,A5:flive_topiq_disagreement_guard
0.5098649746151892,0.5590358493266687,0.6174664045553506,0.6746553429650907,4.848988293266419,5.100309553624167,flive,B1:koniq_flive_mean_50_50
0.48585529638688063,0.535371604724714,0.5905481152925799,0.6432231367226339,5.56432829769948,5.873277958697168,flive,B2:koniq_flive_koniq60_flive40
0.5317059296330364,0.5795707205391667,0.6497706958482895,0.7039742054373199,4.18622786506492,4.405290537507693,flive,B3:koniq_flive_flive60_koniq40
0.49894132149010556,0.5483184032744586,0.5709959467987488,0.6258311108629396,5.472526343487702,5.820470002148254,flive,B4:koniq_flive_koniq_guard_cap_8
0.4824121379562549,0.5306616698360057,0.5513478167566341,0.6050542227856456,6.120078274553902,6.541642839163985,flive,B5:koniq_flive_disagreement_guard
0.8493037222507919,0.8821474559727094,0.8768493877718558,0.9047284225378236,5.316298217752848,5.879086015523091,koniq,koniq_score
0.6516037286130538,0.7244000404672,0.7051573162982299,0.7657335669966319,13.578560811066115,15.017572281051601,koniq,flive_score
0.8432845346929371,0.8776567491616071,0.8673571572896087,0.8974893446592505,5.506652929028871,6.120287377488253,koniq,topiq_score
0.8226144992077196,0.8640045651006865,0.8553020952504492,0.8867042599185653,6.668030009602456,7.351522534096923,koniq,topiq_ranking_score
0.835821090631545,0.8720037424852849,0.8584825251933303,0.8898802699198904,8.626089007624495,9.543595319829082,koniq,A1:flive_topiq_mean_50_50
0.8439484876970574,0.8789086336925667,0.8638396570449144,0.8948248669250821,7.736467929373872,8.571030724758536,koniq,A2:flive_topiq_topiq60_flive40
0.8229154205209168,0.8624716752169894,0.8483974464088286,0.8812914033599771,9.564389311442016,10.588278192525584,koniq,A3:flive_topiq_flive60_topiq40
0.8389716400542351,0.8735575882925084,0.8549363708742141,0.8872944193697867,7.661403130818898,8.482012530952348,koniq,A4:flive_topiq_min_cap_8
0.8403391523731523,0.8747549397438752,0.859244328963798,0.8900974887300762,6.961497165771013,7.719859960424939,koniq,A5:flive_topiq_disagreement_guard
0.8431816289625003,0.8804596220968768,0.8708708496366219,0.9000404233454171,8.053825829069433,8.961246278283161,koniq,B1:koniq_flive_mean_50_50
0.8487332690955478,0.8848461488317786,0.8770641650509517,0.9042266905439094,7.159321583551417,7.964786054092414,koniq,B2:koniq_flive_koniq60_flive40
0.8347363157434937,0.8727716607187498,0.8629742675635527,0.8924256265480133,9.123310503882164,10.090091841581094,koniq,B3:koniq_flive_flive60_koniq40
0.8479899054344974,0.8837591680057209,0.8724075468641997,0.8992288337951184,6.925464470312744,7.716858769196448,koniq,B4:koniq_flive_koniq_guard_cap_8
0.846884055286906,0.8835740657302916,0.876392720959079,0.9028862770399628,6.225404898407408,6.895630494641288,koniq,B5:koniq_flive_disagreement_guard
0.8413576492466628,0.8669863805604279,0.8300170889877924,0.8587090838476366,9.155505640470716,10.024550104976232,spaq,koniq_score
0.8056612673139978,0.8428807713313121,0.6576395785151052,0.7059571633381851,20.050899551086424,21.691137569062974,spaq,flive_score
0.8889420170096733,0.9088994517465275,0.8825547919617338,0.9038753552622375,7.550397493961918,8.244221865122581,spaq,topiq_score
0.8762569337451668,0.9002923523288715,0.8797392263194024,0.9040169467447967,7.384327525008784,8.094399628486899,spaq,topiq_ranking_score
0.8911017552686639,0.9101576154239741,0.8551962910651414,0.8797220140617227,12.834548756896192,13.804557398893435,spaq,A1:flive_topiq_mean_50_50
0.8906154465585959,0.9121714700598832,0.866569992529209,0.8899659499914417,11.487260053840613,12.359742077783878,spaq,A2:flive_topiq_topiq60_flive40
0.8874258783382319,0.9085269717780117,0.8356757668463735,0.863784515805194,14.194010782863035,15.345206606718433,spaq,A3:flive_topiq_flive60_topiq40
0.888854730991937,0.9093409912769836,0.8660131523732909,0.8901411660714673,10.19777605929739,11.083385462030439,spaq,A4:flive_topiq_min_cap_8
0.8886170976800777,0.9092654607672354,0.872323031239549,0.8957398880233856,9.020541033053664,9.868233416566055,spaq,A5:flive_topiq_disagreement_guard
0.860315946851062,0.8863890797794516,0.8275798096932611,0.8568590994908023,12.355712901672787,13.388448379262288,spaq,B1:koniq_flive_mean_50_50
0.8599385016737673,0.8839497718550656,0.8361917451689652,0.8623967784581934,11.031022851149242,12.018542885083091,spaq,B2:koniq_flive_koniq60_flive40
0.862655858095195,0.8884982180810741,0.816918007436881,0.8479992646216744,13.806798805902268,14.929294669062296,spaq,B3:koniq_flive_flive60_koniq40
0.8493766371004322,0.875633624154767,0.818237521605118,0.8486354448798313,10.004347223608228,10.957030923741657,spaq,B4:koniq_flive_koniq_guard_cap_8
0.8477083011210449,0.873382759741965,0.8232580770753346,0.8530667722039124,9.44876985385471,10.343311883621215,spaq,B5:koniq_flive_disagreement_guard
